Tempat laundry dengan teknologi tinggi dan ditangani oleh tenaga profesional memberi jaminan kepuasan kepada para customer,1
Hasilnya sangat bagus dan memuaskan,1
Hasil laundry bagus dan wangi,1
Kurang bersih kadang nyucinya,0
Pekerjaannya tidak tepat waktu,0
Beberapa baju kena pemutih spertinya jadi agak luntur,0
Selalu telat minimal 1 hari,0
Respon lelet,0
tidak bertanggungjawab,0
Bagus,1
bagus laundrynya,1
Pelayanan ramah dan cukup memuaskan,1
Tempatnya bagus dan bersih,1
Selalu memuaskan,1
recomended,1
Harga dan kualitas sesuai,1
Bersih dan rapi,1
Layanan hebat,1
Mewah laundry dengan hasil mewah,1
Good service,1
Mahalnya kebangetan,0
Setrikaannya kurang rapih,0
harga terlalu mahal,0
Baju saya rusak,0
ada 1 celana panjang hilang,0
Pegawai tidak ramah,0
makin jelek kualitas petugasnya,0
pegawainya ga sopan sama ga respect sama pelanggan,0
Pelayanan kurang baik pegawai tidak ramah sama pelangganan,0
Ga sesuai sama iklannya,0
Pegawainya juga ga ramah sama sekali,0
Jangan mau laundry disini. Mesinnya tua jelek lama keringin baju,0
"Staffnya gak helpful, keasikan main hp",0
Karyawannya sangat gak ramah. Apatis,0
Pertama kali coba disini tp udah kecewa. Pengantaran hampir tidak sesuai janji,0
Hasil cuciannya jg biasa aja cenderung ga wangi,0
Payah ngga ada express sesuai iklan,0
"Ok, layanan cepat, cucian bersih, rapi , wangi",1
"Laundry cepat sesuai komitmen. Hasilnya bersih, rapi, harum. Pelayanan ramah dan komunikatif. Bisa minta diantar jika jaraknya dekat",1
"Pelayanan ramah,cepat,bersih,wangi, dan terpercaya",1
"Rapi, wangi, ramah, & tepat waktu, recommended",1
"cepat, bersih, respon baik, terima kasih",1
Pelayanannya tepat waktu,1
Loundry bersih dan Rapi...,1
Pemilik laundry komunikatif,1
Respon cepat untuk wisatawan,1
Pakaian itu berbau sangat harum.,1
Cukup bagus,1
"Gak nyesel laundry di sini, meskipun cuci lipat tapi rapi banget sama kayak di setrika pakaiannya. untuk parfum laundry tahan lama juga dan wanginya seger juga. Pelayanannya juga best banget",1
"Yang butuh jasa laundry fast respon,bersih,wangi,harga afordable kilo laundry solusinya..recomended banget..keep up the good work kilo laundry..semoga bisa langganan terus dsini...",1
Mantapp antar jemput gratis semoga terus bersih,1
"Admin tetap fast respon padahal udah bukan jam kerja, good job Kilo Laundry",1
"So excellent! Rapih wangi dan yg paling penting ga pernah kehilangan, best of best laundry di malang sih!",1
Laundry langganan. Admin responsif. Free delivery juga tanpa minimal cuci. Rapih dan wangi jugaa. Makasi,1
"Pelayanan bagus, hasil memuaskan tingkatkan dan pertahankan",1
"fast respon banget, laundrynya wangi aman sampai tujuan",1
Laundry andalan dikala cucian numpuk dan terlalu capek buat ngurusin sendiri,1
Tinggal duduk manis di rumah cucian beres,1
"Laundry langganan, harga oke pelayanan super duper memuaskan. Penyelamat dimusim hujan",1
"Suka banget cuci disini, udah sering banget apalagi kalau lagi males cuci sendiri. Rapi dan wangi",1
"Hasil laundry disetrikanya asal asalan. Setelah dilaundry malah jadi gak layak pakai, kusutnya parah, kerah kemeja berlipat, kaos kaki hilang sebelah.",0
sepanjang saya mengenal laundry sdh laundry ini yang terparah menurut saya,0
pakaian serasa tidak dicuci malah lebih kotor dari sebelumnya baju penuh dengan tanah dan sangat terlihat tanpa itikad dan sadar baju tetap di setrika alhasil pasir dan tanah yang ada di baju menempel,0
Pelayanan dan responnya sangat tidak nyaman,0
eberapa staff nya jg kurang ramah,0
Poor quality and service laundry,0
Baju saya robek dan tidak ada pertanggungjawaban,0
Terlalu Mahal tapi hasil gak memuaskan,0
"Ambil cucian cepat, tapi baju putih tidak diperhatikan sama sekali, tetap kotor banget",0
"jadi memang cuma masukin mesin cuci langsung setrika, ga peduli masih kotor apa enggak",0
"Laundry jadinya lama dan kurang bersih, laundrian berbahan halus saya ada yang rusak, harga relatif mahal untuk pelayanan seperti ini.",0
cuci gakbersih banyak noda dan bercak,0
"Baju saya ada yg rusak, cucinya kurang bersih, laundry nya lama, pernah salah ngasih baju, staff nya ada yg kurang ramah. Harganya relatif mahal",0
Ribet si penerima order laundry,0
"Baju masih kotor kaya ga di cuci , gaakan lagi lagi deh kesini cukup satu kali",0
Layanan buruk,0
Ternyata dah banyak review jelek jangan nyuci disini pakaian luntur semua,0
"disuruh nunggu lama tapi no tip, minim empati",0
INI LAUNDRY TERPARAH! Jangan pernah laindry dsini pertama kali laundry langsung baju hilang 2,0
Jasa laundry terburuk yang pernah ada! Jangan pernah pakai jasa di sini. Saya punya bantal hancur rusak ga bersisa dan ga bisa klaim dengan alasan udah lewat dari dua puluh empat jam.,0
"Laundry langganan, harga oke pelayanan super duper memuaskan. Penyelamat dimusim hujan",1
"Cuci baju super wangi dan bersih pelayanan juga bagus, mbaknya baik selalu fast respon ke customer. Terimakasih banyak, semoga makin sukses terus ya kakak",1
"Laundry andalan saya dong , bersih harum pelayanan tepat waktu ",1
"adminnya responsif banget, free antar jemput cocok banget dikantong",1
Laundry langganan terbaik bisa anter jemput juga biaya sesuai kantong mahasiswa banget wanginya juga enak Adminnya juga ramah baik debest dehh,1
Pertama kali mencoba laundry disini. Adminnya ramah. Bisa antar jemput. Semoga langganan disini hihi,1
Suka banget laundry disini soalnya ontime harum pelayananya memuaskan,1
"Hasil laundry bersih, hasil setrikanya juga rapi, wangi lagi, bakal langganan sama kilo laundry.",1
Mantap promonya asik mantep banget,1
Selalu puas dengan laundry di sini. Mana antar jemput gratis Sukses selalu kilo laundry,1
"Terima Kasih Kilo Laundry sudah selalu tepat waktu, bersih, rapi dan saya tidak pernah kehilangan pakaian",1
"Bersih , harum , sudah berlangganan , cocok buat anak kos harga ramah di kantong",1
"Mantab, bersih, suka bau parfumnya",1
"Best service, bersih wangi dan cepat",1
"Kilo laundry pengerjaannya rapi dan wangi, semoga pelayanannya bisa terus ditingkatkan",1
pegawainya ramah wangi,1
laundry langganan di saat mager,1
Langganan disini lumayan lama bagus banget pelayanannya dan murah,1
Pegawain Ramah selalu ada promo free ongkir. Baju bersih rapi kinclong dan wangi hanya di kilo laundry. Love pokoknya,1
Cucian bersih rapi pelayanan terbaik recomend gaes,1
Pelayanan memuaskan dan hasil cucian juga rapi dan harus.,1
"Fasilitas laundry yang free antar jemput, pelayanan cepat, dan wangi",1
Udah langganan dari dulu bagus,1
"Pelayanan baik, wangi, bersih dan recommended bangeeet",1
Mantap laundrynya,1
Sangat sat set mbak mbaknya di jamin bersih,1
"Laundry andalan, langganan paling bersih dan wangi.",1
Pelanggan lama yang ga ketinggalan dengan promo menariknya,1
"Bersih, wangi, cepat, Dan tentunya pelayanan yang memuaskan",1
Punya pengalaman buruk saat laundry disini,0
semoga bisa langganan di kilo laundry,1
"Pelayanan memuaskan,kurir ramah",1
Laundry tidak amanah,0
dua kali ilang pakaian disini bau wanginya ga harum dan lama pengerjaannya!,0
Pakaian tercecer,0
Setrikaan kurang rapih,0
Kurang BERSIH dan kurang wangi....,0
Seprei sama coverbad gua kelunturan Pas balikin buat di bersihin lagi enteng bangat bilang gak bisa,0
tapi pas kemarin saya ngelaundry si teteh tetehnya jutek banget kyak ga niat kerja padahal si teteh yang dulu baik banget,0
saya laundry di sini menggunakan yg express baju saya sobek semua dalaman juga sama buat wanginya si okei tapi pengerjaan nya sembarangan,0
entah kalau buat service yg lain tp kalau buat tas unrecommended,0
